,name,address,distance_m
151,Camile Thai,143a Phibsborough Rd,637
152,The Whitworth,Cross Guns Bridge,770
153,Eddie Rocket's,"Phibsborough Shopping Centre, Phisborough",615
154,Fish Bar,Cabra Rd,301
155,Indian Curry Club,"Emmett Rd, Inchicore",362
156,Mr. Fox,38 Parnell Square W,780
157,Mama's Revenge,12 S Leinster St,481
158,Charming Noodles,105 Parnell St,973
159,McDonald's,"Ilac Shopping Centre,",986
160,Sbarro Pizza,,371
161,Coppa,15 Ely Place,669
162,Domino's Pizza - Dublin - Cabra,101a Cabra Rd,291
163,Rainbow,,298
